Brand,Series,Weight,Display Size,Pixel Density,Display Touchscreen,Graphic Processor,RAM Capacity,RAM Type,SSD Capacity,OS,Processor_Brand,Price (Rs),Processor_Series,Graphics Memory
Asus,rog,2.3,15.6,141.0,0,nvidia geforce rtx 3080,16,ddr4,1024,win 10,amd,183990.0,octa core,8
Asus,rog,1.3,13.4,169.0,1,nvidia geforce gtx 1650,16,lpddr4x,1024,win 10,amd,102990.0,octa core,4
Asus,rog,1.5,14.0,243.0,0,nvidia geforce rtx 4060,16,lpddr5x,1024,win 11,amd,164990.0,octa core,8
Microsoft,Surface,1.0,13.8,251.0,1,qualcomm integrated,16,ddr5,512,win 11,qualcomm,161990.0,snapdragon,0
Thomson,neo,1.35,14.1,111.0,0,intel uhd,4,lpddr4,128,win 11,intel,12990.0,celeron,0
Microsoft,Surface,1.22,13.8,201.0,0,qualcomm integrated,16,lpddr5x,512,win 11,qualcomm,126990.0,snapdragon,0
HP,zbook,1.41,14.0,162.0,0,intel,16,ddr5,512,win 11,intel,108780.0,ultra 7,0
Dell,alienware,2.61,16.0,189.0,0,nvidia geforce rtx 4050,16,ddr5,1024,win 11,intel,154490.0,ultra 7,6
Samsung,galaxy,1.55,15.6,141.0,0,intel iris xe,16,lpddr4x,512,win 11,intel,63000.0,i7,0
MSI,stealth,1.99,16.0,189.0,0,nvidia geforce rtx 4060,32,ddr5,1024,win 11,intel,219990.0,i7,8
HP,spectre,1.44,14.0,243.0,1,intel arc,32,lpddr5x,1024,win 11,intel,138956.0,ultra 7,0
